
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
        34          0          0          0        120   app_buff_alloc.obj
      1292          0          0          0        876   bitop_funcs.obj
      2420          0          0          0        512   bitstream.obj
       152          0          0         16        172   data_buff_pool.obj
       728          0          0          0       1020   dlist.obj
      1650          0          0          4        888   event_shed.obj
       156         32          0          0        364   kal_active_module.obj
      7030         40         36          4       2620   kal_adm.obj
      3126          0          0          0       1012   kal_afm.obj
        76          0          0          0        480   kal_compatible.obj
        10          0          0          0        208   kal_cpu_usage_profile.obj
       138          0          0        484        184   kal_debug_buff_mngr.obj
       246          0         16          4        432   kal_debug_error_handling.obj
       236          0          0          0        196   kal_debug_nucleus_non_exported.obj
        44          0          0          0         64   kal_debug_reset.obj
       806          0          0         85        912   kal_error_handling.obj
        80          0          0          0         64   kal_hisr_initialize.obj
      1724         52          0          0       1568   kal_lib_funcs.obj
       648          0          0         56        708   kal_mem_mgr.obj
      1176          0          0          0        636   kal_nucleus_buff_mgr.obj
      1416         84          0        193        196   kal_nucleus_error_handling.obj
       232          0          0         64        200   kal_nucleus_evshed_buff_mgr.obj
        22          0          0          0        260   kal_nucleus_flmm.obj
       196          0          0          4        172   kal_nucleus_initialize.obj
      2742          0          0         36       1260   kal_nucleus_itc.obj
         0          0          0          0          0   kal_nucleus_slmm.obj
      1762          0         49        165       1976   kal_nucleus_tasks.obj
      1044          0         32          4        604   kal_nucleus_timer.obj
       880          8          0       3092        372   kal_task_lifecycle.obj
       152          0          0          0        172   kal_task_ops.obj
        20          0          0          8         52   lcd.obj
       406          0          0          0        840   lcd_cqueue.obj
       506          0          0          0        580   lcd_dll.obj
      1698          0          0          0       1340   lcd_lqueue.obj
       474          0          0          0        544   mlib_dll.obj
       586          0          0          0        536   stack_buff_pool.obj
      1792          0          0          0        824   stack_ltlcom.obj
      1218          0          0          0       1460   stack_ltlcom_newapi.obj
       512          0          0          0        528   stack_timer.obj
        16          0          0          0        120   stack_utils.obj
       452          0          0          0        196   tst_ltlcom.obj
     37898        216        133       4219      25268   TOTAL

